name	id	component_based	item_version	component_nbt_bytes
minecraft:element_29	-40	false	NONE	3
minecraft:brown_wool	-555	false	NONE	3
minecraft:cherry_double_slab	-540	false	NONE	3
minecraft:brown_stained_glass	-684	false	NONE	3
minecraft:wooden_spear	856	true	DATA_DRIVEN	1925
minecraft:brain_coral_fan	-840	false	NONE	3
minecraft:bow	302	false	NONE	3
minecraft:pink_cushion	784	false	NONE	3
minecraft:cooked_cod	268	false	LEGACY	236
minecraft:waxed_exposed_copper_bulb	-781	false	NONE	3
minecraft:purpur_block	201	false	NONE	3
minecraft:enderman_spawn_egg	446	false	NONE	3
minecraft:music_disc_ward	553	true	NONE	3
minecraft:air	-158	false	NONE	3
minecraft:copper_golem_statue	-1039	false	NONE	3
minecraft:charcoal	305	true	NONE	3
minecraft:stray_spawn_egg	466	false	NONE	3
minecraft:stone_spear	855	true	DATA_DRIVEN	1903
minecraft:light_block_2	-930	false	NONE	3
minecraft:copper_helmet	752	false	NONE	3
minecraft:silver_glazed_terracotta	228	false	NONE	3
minecraft:cocoa_beans	415	false	NONE	3
minecraft:tropical_fish	266	false	LEGACY	236
minecraft:wooden_slab	810	false	NONE	3
minecraft:golden_spear	852	true	DATA_DRIVEN	1884
minecraft:iron_golem_spawn_egg	510	false	NONE	3
minecraft:waxed_oxidized_copper_door	-791	false	NONE	3
minecraft:acacia_log	162	false	NONE	3
minecraft:copper_spear	850	true	DATA_DRIVEN	1889
minecraft:magenta_candle_cake	-432	false	NONE	3
minecraft:item.campfire	-209	false	NONE	3
minecraft:melon_slice	272	false	LEGACY	208
minecraft:wooden_pickaxe	312	false	NONE	3
minecraft:waxed_weathered_copper_door	-790	false	NONE	3
minecraft:beetroot_soup	286	false	LEGACY	239
minecraft:piglin_head	-970	false	NONE	3
minecraft:diamond_spear	851	true	DATA_DRIVEN	1952
minecraft:netherite_spear	854	true	DATA_DRIVEN	1951
minecraft:iron_spear	853	true	DATA_DRIVEN	1871
minecraft:black_bundle	857	true	DATA_DRIVEN	855
minecraft:endermite_spawn_egg	464	false	NONE	3
minecraft:pink_bundle	869	true	DATA_DRIVEN	852
minecraft:cinnabar_slab	-1110	false	NONE	3
minecraft:weathered_cut_copper_stairs	-356	false	NONE	3
minecraft:blue_bundle	858	true	DATA_DRIVEN	852
minecraft:rapid_fertilizer	611	false	NONE	3
minecraft:orange_tulip	-834	false	NONE	3
minecraft:dead_bubble_coral_block	-855	false	NONE	3
minecraft:green_candle	-426	false	NONE	3
minecraft:brown_bundle	859	true	DATA_DRIVEN	855
minecraft:sparkler	614	false	NONE	3
minecraft:warped_door	631	false	NONE	3
minecraft:cooked_salmon	269	false	LEGACY	236
minecraft:underwater_tnt	-985	false	NONE	3
minecraft:pufferfish_spawn_egg	486	false	NONE	3
minecraft:red_mushroom_block	100	false	NONE	3
minecraft:crimson_fungus	-228	false	NONE	3
minecraft:item.frame	199	false	NONE	3
minecraft:bundle	860	true	DATA_DRIVEN	837
minecraft:cyan_bundle	861	true	DATA_DRIVEN	852
minecraft:polished_blackstone_brick_slab	-284	false	NONE	3
minecraft:mushroom_stew	260	false	LEGACY	239
minecraft:element_25	-36	false	NONE	3
minecraft:mangrove_leaves	-472	false	NONE	3
minecraft:ravager_spawn_egg	498	false	NONE	3
minecraft:cooked_porkchop	263	false	LEGACY	208
minecraft:pale_oak_fence	-991	false	NONE	3
minecraft:gray_bundle	862	true	DATA_DRIVEN	852
minecraft:iron_horse_armor	541	false	NONE	3
minecraft:weathered_copper_door	-786	false	NONE	3
minecraft:raw_copper_block	-452	false	NONE	3
minecraft:barrel	-203	false	NONE	3
